DISTRICT,DIST_LGD,SUB_DIST,Subdt_LGD,NAME,CEN_2001,TYPE,STATE,nutrition_idx,protection_idx,education_idx,health_idx,child_anaemia,early_marriage,anc_4plus
Saharsa,216,Kahara,1174,Deona Gopal,'1017001601816800,Village,Bihar,6419.28,10698.8,12227.2,10698.8,10698.8,13755.6,10698.8
Vaishali,224,Chehra Kalan,1273,Bathna Mahodat,'1013001301177600,Village,Bihar,6419.7,10699.5,12228,10699.5,10699.5,13756.5,10699.5
Samastipur,217,Kalyanpur,1048,Chak Nuruddin,'1019000502059200,Village,Bihar,6420.12,10700.2,12228.8,10700.2,10700.2,13757.4,10700.2
Samastipur,217,Kalyanpur,1048,Shivnandanpur,'1018000601910500,Village,Bihar,6420.54,10700.9,12229.6,10700.9,10700.9,13758.3,10700.9
Saran,218,Manjhi,1255,Dharampura,'1009000800759500,Village,Bihar,6420.96,10701.6,12230.4,10701.6,10701.6,13759.2,10701.6
Darbhanga,195,Kusheshwar Asthan,1197,Fakirana Kalyan Dih,'1018000301886600,Village,Bihar,6421.38,10702.3,12231.2,10702.3,10702.3,13760.1,10702.3
Samastipur,217,Khanpur,1287,Khairi,'1019000502059600,Village,Bihar,6421.8,10703,12232,10703,10703,13761,10703
Samastipur,217,Kalyanpur,1048,Keshopatti,'1017001301791100,Village,Bihar,6422.22,10703.7,12232.8,10703.7,10703.7,13761.9,10703.7
Samastipur,217,Shivaji Nagar,1286,Bahadurpur,'1012000201033000,Village,Bihar,6422.64,10704.4,12233.6,10704.4,10704.4,13762.8,10704.4
Saharsa,216,Satar Kataiya,1172,Balhapatti Arazi,'1017001601816300,Village,Bihar,6423.06,10705.1,12234.4,10705.1,10705.1,13763.7,10705.1
Samastipur,217,Khanpur,1287,Kamurpur,'1012000301038200,Village,Bihar,6423.48,10705.8,12235.2,10705.8,10705.8,13764.6,10705.8
Saran,218,Amnour,1261,Shikarpur,'1009000100710200,Village,Bihar,6423.9,10706.5,12236,10706.5,10706.5,13765.5,10706.5
Saran,218,Amnour,1261,Korea,'1009000800761000,Village,Bihar,6424.32,10707.2,12236.8,10707.2,10707.2,13766.4,10707.2
Vaishali,224,Patepur,1274,Bhusahi,'1019000302045800,Village,Bihar,6424.74,10707.9,12237.6,10707.9,10707.9,13767.3,10707.9
Samastipur,217,Khanpur,1287,Dharampur,'1009000800759100,Village,Bihar,6425.16,10708.6,12238.4,10708.6,10708.6,13768.2,10708.6
Vaishali,224,Patepur,1274,Afazlpur Puraina,'1018000501901700,Village,Bihar,6425.58,10709.3,12239.2,10709.3,10709.3,13769.1,10709.3
Samastipur,217,Warisnagar,1285,Tal Koraia,'1018000601910200,Village,Bihar,6426,10710,12240,10710,10710,13770,10710
Purnia,214,Banmankhi,1128,Dharhara Milik,'1018000401894500,Village,Bihar,6426.42,10710.7,12240.8,10710.7,10710.7,13770.9,10710.7
Saharsa,216,Satar Kataiya,1172,Baijnathpur,'1017001401803500,Village,Bihar,6426.84,10711.4,12241.6,10711.4,10711.4,13771.8,10711.4
Darbhanga,195,Kusheshwar Asthan,1197,Kalna Dih,'1011000400992100,Village,Bihar,6427.26,10712.1,12242.4,10712.1,10712.1,13772.7,10712.1
Saharsa,216,Mahishi,1173,Parewa,'1018000601910400,Village,Bihar,6427.68,10712.8,12243.2,10712.8,10712.8,13773.6,10712.8
Saran,218,Manjhi,1255,Laguni,'1018000701914700,Village,Bihar,6428.1,10713.5,12244,10713.5,10713.5,13774.5,10713.5
Samastipur,217,Samastipur,1288,Chak Jian,'1017001201777500,Village,Bihar,6428.52,10714.2,12244.8,10714.2,10714.2,13775.4,10714.2
Saran,218,Manjhi,1255,Dharampura,'1017001401803300,Village,Bihar,6428.94,10714.9,12245.6,10714.9,10714.9,13776.3,10714.9
Purnia,214,Banmankhi,1128,Mirza Muniambeg Chakla,'1018000501901900,Village,Bihar,6429.36,10715.6,12246.4,10715.6,10715.6,13777.2,10715.6
Darbhanga,195,Gora Bauram,1196,Baijnathpur,'1009000800760700,Village,Bihar,6429.78,10716.3,12247.2,10716.3,10716.3,13778.1,10716.3
Vaishali,224,Patepur,1274,Bishunpur Katesar,'1017000901754800,Village,Bihar,6430.2,10717,12248,10717,10717,13779,10717
Saran,218,Nagra,1259,Nagra,'1012000301041200,Village,Bihar,6430.62,10717.7,12248.8,10717.7,10717.7,13779.9,10717.7
Samastipur,217,Khanpur,1287,Kanu Bishunpur,'1019000102034100,Village,Bihar,6431.04,10718.4,12249.6,10718.4,10718.4,13780.8,10718.4
Saharsa,216,Mahishi,1173,Semar,'1013001301179800,Village,Bihar,6431.46,10719.1,12250.4,10719.1,10719.1,13781.7,10719.1
Samastipur,217,Kalyanpur,1048,Chatarpur Harpur Chand,'1009000800759300,Village,Bihar,6431.88,10719.8,12251.2,10719.8,10719.8,13782.6,10719.8
Vaishali,224,Patepur,1274,Mohammadpur Suki,'1018000701923100,Village,Bihar,6432.3,10720.5,12252,10720.5,10720.5,13783.5,10720.5
Saran,218,Parsa,1263,Latrahia,'1017001201777200,Village,Bihar,6432.72,10721.2,12252.8,10721.2,10721.2,13784.4,10721.2
Siwan,222,Siswan,1247,Alakh Diyara,'1018000301885900,Village,Bihar,6433.14,10721.9,12253.6,10721.9,10721.9,13785.3,10721.9
Saran,218,Parsa,1263,Mankiman Mal,'1017001601813800,Village,Bihar,6433.56,10722.6,12254.4,10722.6,10722.6,13786.2,10722.6
Purnia,214,Banmankhi,1128,Srinagar Badh,'1017001301786600,Village,Bihar,6433.98,10723.3,12255.2,10723.3,10723.3,13787.1,10723.3
Vaishali,224,Bhagwanpur,1271,Khir Kawan,'1019000102033500,Village,Bihar,6434.4,10724,12256,10724,10724,13788,10724
Purnia,214,Banmankhi,1128,Madhuban,'1017000801743000,Village,Bihar,6434.82,10724.7,12256.8,10724.7,10724.7,13788.9,10724.7
Vaishali,224,Lalganj,1270,Sararia Urf Saranthi Chhapra B,'1018000701923400,Village,Bihar,6435.24,10725.4,12257.6,10725.4,10725.4,13789.8,10725.4
Vaishali,224,Lalganj,1270,Pachrukhi,'1012000201037100,Village,Bihar,6435.66,10726.1,12258.4,10726.1,10726.1,13790.7,10726.1
Saran,218,Parsa,1263,Khidirpur,'1018000501902600,Village,Bihar,6436.08,10726.8,12259.2,10726.8,10726.8,13791.6,10726.8
Saran,218,Manjhi,1255,Lejuar,'1017001601815700,Village,Bihar,6436.5,10727.5,12260,10727.5,10727.5,13792.5,10727.5
Saran,218,Marhaura,1260,Tola Bhalui,'1018000701924700,Village,Bihar,6436.92,10728.2,12260.8,10728.2,10728.2,13793.4,10728.2
Purnia,214,Jalalgarh,1137,Bathna,'1019000302046300,Village,Bihar,6437.34,10728.9,12261.6,10728.9,10728.9,13794.3,10728.9
Vaishali,224,Patepur,1274,Harlo Chanpur Suki,'1018000501902700,Village,Bihar,6437.76,10729.6,12262.4,10729.6,10729.6,13795.2,10729.6
Darbhanga,195,Biraul,1193,Mahamadpur,'1011000600998500,Village,Bihar,6438.18,10730.3,12263.2,10730.3,10730.3,13796.1,10730.3
Madhepura,205,Murliganj,1164,Jitapur Arazi,'1017001601816700,Village,Bihar,6438.6,10731,12264,10731,10731,13797,10731
Vaishali,224,Patepur,1274,Chakwa Urf Chak Khodaiya,'1013001301177900,Village,Bihar,6439.02,10731.7,12264.8,10731.7,10731.7,13797.9,10731.7
Purnia,214,Baisi,1140,Majhok,'1019000502059100,Village,Bihar,6439.44,10732.4,12265.6,10732.4,10732.4,13798.8,10732.4
Vaishali,224,Chehra Kalan,1273,Mansurpur Halayia,'1018000101872800,Village,Bihar,6439.86,10733.1,12266.4,10733.1,10733.1,13799.7,10733.1
Saran,218,Manjhi,1255,Siswa,'1009001100786500,Village,Bihar,6440.28,10733.8,12267.2,10733.8,10733.8,13800.6,10733.8
Purnia,214,Baisi,1140,Chauni,'1009000800760800,Village,Bihar,6440.7,10734.5,12268,10734.5,10734.5,13801.5,10734.5
Vaishali,224,Goraul,1272,Majirabad,'1012000301041400,Village,Bihar,6441.12,10735.2,12268.8,10735.2,10735.2,13802.4,10735.2
Vaishali,224,Lalganj,1270,Chak Rasul Urf Dilawarpur,'1019001802126600,Village,Bihar,6441.54,10735.9,12269.6,10735.9,10735.9,13803.3,10735.9
Vaishali,224,Patepur,1274,Chak Faiz,'1019000302050000,Village,Bihar,6441.96,10736.6,12270.4,10736.6,10736.6,13804.2,10736.6
Madhepura,205,Madhepura,1161,Lchhmirampur Uttarwari Chakla,'1017001401803400,Village,Bihar,6442.38,10737.3,12271.2,10737.3,10737.3,13805.1,10737.3
Saran,218,Parsa,1263,Partap Chhapra,'1017001601817200,Village,Bihar,6442.8,10738,12272,10738,10738,13806,10738
Purnia,214,Krityanand Nagar,1133,Jagni Jagarnathpur,'1013001301178000,Village,Bihar,6443.22,10738.7,12272.8,10738.7,10738.7,13806.9,10738.7
Samastipur,217,Warisnagar,1285,Paroria,'1009001100786600,Village,Bihar,6443.64,10739.4,12273.6,10739.4,10739.4,13807.8,10739.4
Vaishali,224,Lalganj,1270,Puran Tanr,'1018000501904300,Village,Bihar,6444.06,10740.1,12274.4,10740.1,10740.1,13808.7,10740.1
Purnia,214,Srinagar,1136,Khunti Hasaili,'1017000801747100,Village,Bihar,6444.48,10740.8,12275.2,10740.8,10740.8,13809.6,10740.8
Saran,218,Jalalpur,1256,Ghoghwalia,'1017001301783600,Village,Bihar,6444.9,10741.5,12276,10741.5,10741.5,13810.5,10741.5
Saran,218,Marhaura,1260,Bhalui,'1017001601815900,Village,Bihar,6445.32,10742.2,12276.8,10742.2,10742.2,13811.4,10742.2
Purnia,214,Dagarua,1141,Tauli,'1019000602069800,Village,Bihar,6445.74,10742.9,12277.6,10742.9,10742.9,13812.3,10742.9
Darbhanga,195,Kusheshwar Asthan,1197,Aurahi,'1019000102032900,Village,Bihar,6446.16,10743.6,12278.4,10743.6,10743.6,13813.2,10743.6
Saran,218,Nagra,1259,Kadipur,'1019000302047900,Village,Bihar,6446.58,10744.3,12279.2,10744.3,10744.3,13814.1,10744.3
Samastipur,217,Tajpur,1290,Muradpur Bangra,'1018000601910300,Village,Bihar,6447,10745,12280,10745,10745,13815,10745
Saran,218,Parsa,1263,Chak Shahbaz,'1019000102035200,Village,Bihar,6447.42,10745.7,12280.8,10745.7,10745.7,13815.9,10745.7
Saran,218,Parsa,1263,Asgharpur,'1019000102033600,Village,Bihar,6447.84,10746.4,12281.6,10746.4,10746.4,13816.8,10746.4
Samastipur,217,Warisnagar,1285,Labahatta,'1017001601816200,Village,Bihar,6448.26,10747.1,12282.4,10747.1,10747.1,13817.7,10747.1
Samastipur,217,Warisnagar,1285,Mohiuddinpur,'1012000301040100,Village,Bihar,6448.68,10747.8,12283.2,10747.8,10747.8,13818.6,10747.8
Saran,218,Amnour,1261,Umarpur,'1018000301885600,Village,Bihar,6449.1,10748.5,12284,10748.5,10748.5,13819.5,10748.5
Purnia,214,Amour,1138,Deori,'1017000801742900,Village,Bihar,6449.52,10749.2,12284.8,10749.2,10749.2,13820.4,10749.2
Saran,218,Marhaura,1260,Olhanpur,'1011000400989200,Village,Bihar,6449.94,10749.9,12285.6,10749.9,10749.9,13821.3,10749.9
Vaishali,224,Patepur,1274,Akhtiarpur Doghra,'1009000100702400,Village,Bihar,6450.36,10750.6,12286.4,10750.6,10750.6,13822.2,10750.6
Darbhanga,195,Gora Bauram,1196,Bargawan,'1017000801747300,Village,Bihar,6450.78,10751.3,12287.2,10751.3,10751.3,13823.1,10751.3
Saran,218,Parsa,1263,Parsa Mathura Bharna,'1019000202039900,Village,Bihar,6451.2,10752,12288,10752,10752,13824,10752
Purnia,214,Kasba,1135,Dabaili Biswaspur,'1019000202040300,Village,Bihar,6451.62,10752.7,12288.8,10752.7,10752.7,13824.9,10752.7
Samastipur,217,Warisnagar,1285,Bhoraha,'1009000900765800,Village,Bihar,6452.04,10753.4,12289.6,10753.4,10753.4,13825.8,10753.4
Samastipur,217,Khanpur,1287,Tal Dumri,'1017001301789400,Village,Bihar,6452.46,10754.1,12290.4,10754.1,10754.1,13826.7,10754.1
Saran,218,Parsa,1263,Gopalpur,'1017001301791000,Village,Bihar,6452.88,10754.8,12291.2,10754.8,10754.8,13827.6,10754.8
Saharsa,216,Mahishi,1173,Mahesraho,'1018000301880100,Village,Bihar,6453.3,10755.5,12292,10755.5,10755.5,13828.5,10755.5
Saran,218,Jalalpur,1256,Jalalpur,'1017001301786500,Village,Bihar,6453.72,10756.2,12292.8,10756.2,10756.2,13829.4,10756.2
Saran,218,Parsa,1263,Bishunpura,'1011000701002800,Village,Bihar,6454.14,10756.9,12293.6,10756.9,10756.9,13830.3,10756.9
Vaishali,224,Bhagwanpur,1271,Partap Tanr,'1019000602069400,Village,Bihar,6454.56,10757.6,12294.4,10757.6,10757.6,13831.2,10757.6
Purnia,214,Srinagar,1136,Kadgawan,'1017000901757100,Village,Bihar,6454.98,10758.3,12295.2,10758.3,10758.3,13832.1,10758.3
Saran,218,Parsa,1263,Manrar,'1019000502058500,Village,Bihar,6455.4,10759,12296,10759,10759,13833,10759
Darbhanga,195,Kusheshwar Asthan,1197,Bhadahar,'1019000302046800,Village,Bihar,6455.82,10759.7,12296.8,10759.7,10759.7,13833.9,10759.7
Samastipur,217,Khanpur,1287,Khatuaha Bahuarpatti,'1017001201777300,Village,Bihar,6456.24,10760.4,12297.6,10760.4,10760.4,13834.8,10760.4
Purnia,214,Baisi,1140,Pundale,'1019000302047000,Village,Bihar,6456.66,10761.1,12298.4,10761.1,10761.1,13835.7,10761.1
Vaishali,224,Chehra Kalan,1273,Chak Chuhar,'1019000502058400,Village,Bihar,6457.08,10761.8,12299.2,10761.8,10761.8,13836.6,10761.8
Vaishali,224,Patepur,1274,Ghanipur,'1012000301038400,Village,Bihar,6457.5,10762.5,12300,10762.5,10762.5,13837.5,10762.5
Purnia,214,Baisi,1140,Gurihar,'1018000701923900,Village,Bihar,6457.92,10763.2,12300.8,10763.2,10763.2,13838.4,10763.2
Saharsa,216,Mahishi,1173,Dhor,'1017000901757300,Village,Bihar,6458.34,10763.9,12301.6,10763.9,10763.9,13839.3,10763.9
Vaishali,224,Lalganj,1270,Sarandia,'1017001601813900,Village,Bihar,6458.76,10764.6,12302.4,10764.6,10764.6,13840.2,10764.6
Purnia,214,Srinagar,1136,Debinagar,'1009000800761200,Village,Bihar,6459.18,10765.3,12303.2,10765.3,10765.3,13841.1,10765.3
Purnia,214,Baisi,1140,Jalal Pundale,'1017001301790900,Village,Bihar,6459.6,10766,12304,10766,10766,13842,10766
Purnia,214,Banmankhi,1128,Chandpur Bhagha,'1013001601189900,Village,Bihar,6460.02,10766.7,12304.8,10766.7,10766.7,13842.9,10766.7
Vaishali,224,Patepur,1274,Larho,'1016001901686400,Village,Bihar,6460.44,10767.4,12305.6,10767.4,10767.4,13843.8,10767.4
Purnia,214,Amour,1138,Khagjana,'1018000301884500,Village,Bihar,6460.86,10768.1,12306.4,10768.1,10768.1,13844.7,10768.1
Madhepura,205,Madhepura,1161,Budhma Lakheraj,'1018000701915500,Village,Bihar,6461.28,10768.8,12307.2,10768.8,10768.8,13845.6,10768.8
Samastipur,217,Samastipur,1288,Chak Husain,'1018000301886000,Village,Bihar,6461.7,10769.5,12308,10769.5,10769.5,13846.5,10769.5
Purnia,214,Baisi,1140,Chakla,'1009001100787100,Village,Bihar,6462.12,10770.2,12308.8,10770.2,10770.2,13847.4,10770.2
Saran,218,Manjhi,1255,Araji jaitpur,'1019000102033800,Village,Bihar,6462.54,10770.9,12309.6,10770.9,10770.9,13848.3,10770.9
Saharsa,216,Kahara,1174,Nariar,'1019000602069000,Village,Bihar,6462.96,10771.6,12310.4,10771.6,10771.6,13849.2,10771.6
Samastipur,217,Pusa,1289,Naraenpur Khairi,'1011000701003700,Village,Bihar,6463.38,10772.3,12311.2,10772.3,10772.3,13850.1,10772.3
Samastipur,217,Kalyanpur,1048,Partapur,'1019001802130700,Village,Bihar,6463.8,10773,12312,10773,10773,13851,10773
Samastipur,217,Shivaji Nagar,1286,Kaji Dumra,'1012000301038000,Village,Bihar,6464.22,10773.7,12312.8,10773.7,10773.7,13851.9,10773.7
Saran,218,Parsa,1263,Mankiman Tal,'1011000400989300,Village,Bihar,6464.64,10774.4,12313.6,10774.4,10774.4,13852.8,10774.4
Vaishali,224,Chehra Kalan,1273,Chainpur,'1018000701916000,Village,Bihar,6465.06,10775.1,12314.4,10775.1,10775.1,13853.7,10775.1
Saran,218,Parsa,1263,Chetan Parsa,'1017000801745900,Village,Bihar,6465.48,10775.8,12315.2,10775.8,10775.8,13854.6,10775.8
Saran,218,Parsa,1263,Harpur Parsa,'1012000301041800,Village,Bihar,6465.9,10776.5,12316,10776.5,10776.5,13855.5,10776.5
Purnia,214,Kasba,1135,Phul Banaili,'1017001201777100,Village,Bihar,6466.32,10777.2,12316.8,10777.2,10777.2,13856.4,10777.2
Samastipur,217,Pusa,1289,Naraenpur,'1018000401894300,Village,Bihar,6466.74,10777.9,12317.6,10777.9,10777.9,13857.3,10777.9
Purnia,214,Baisi,1140,Bhaturia,'1019000202039800,Village,Bihar,6467.16,10778.6,12318.4,10778.6,10778.6,13858.2,10778.6
Saran,218,Amnour,1261,Hakma,'1018000601910100,Village,Bihar,6467.58,10779.3,12319.2,10779.3,10779.3,13859.1,10779.3
Saran,218,Manjhi,1255,Bhamalia Urf Antarpura,'1018000601910000,Village,Bihar,6468,10780,12320,10780,10780,13860,10780
Siwan,222,Siswan,1247,Gopalpur,'1019000502059000,Village,Bihar,6468.42,10780.7,12320.8,10780.7,10780.7,13860.9,10780.7
Vaishali,224,Patepur,1274,Digha Fatehpur,'1012000401046000,Village,Bihar,6468.84,10781.4,12321.6,10781.4,10781.4,13861.8,10781.4
Samastipur,217,Shivaji Nagar,1286,Dumarkol,'1018000601909500,Village,Bihar,6469.26,10782.1,12322.4,10782.1,10782.1,13862.7,10782.1
Madhepura,205,Murliganj,1164,Rampur,'1019000102033700,Village,Bihar,6469.68,10782.8,12323.2,10782.8,10782.8,13863.6,10782.8
Vaishali,224,Patepur,1274,Chak Dohri,'1019000102034300,Village,Bihar,6470.1,10783.5,12324,10783.5,10783.5,13864.5,10783.5
Vaishali,224,Lalganj,1270,Rikhar,'1017000801747400,Village,Bihar,6470.52,10784.2,12324.8,10784.2,10784.2,13865.4,10784.2
Vaishali,224,Goraul,1272,Pirapur Methura,'1013001701191800,Village,Bihar,6470.94,10784.9,12325.6,10784.9,10784.9,13866.3,10784.9
Darbhanga,195,Kusheshwar Asthan,1197,Khotas Kalana,'1019000402051300,Village,Bihar,6471.36,10785.6,12326.4,10785.6,10785.6,13867.2,10785.6
Samastipur,217,Pusa,1289,Repura,'1019000102035300,Village,Bihar,6471.78,10786.3,12327.2,10786.3,10786.3,13868.1,10786.3
Saran,218,Marhaura,1260,Hakam,'1019000302046100,Village,Bihar,6472.2,10787,12328,10787,10787,13869,10787
Purnia,214,Baisi,1140,Bangrora,'1012000201032900,Village,Bihar,6472.62,10787.7,12328.8,10787.7,10787.7,13869.9,10787.7
Vaishali,224,Goraul,1272,Madhurapur,'1019000402052000,Village,Bihar,6473.04,10788.4,12329.6,10788.4,10788.4,13870.8,10788.4
Purnia,214,Kasba,1135,Badla,'1017001401795100,Village,Bihar,6473.46,10789.1,12330.4,10789.1,10789.1,13871.7,10789.1
Madhepura,205,Murliganj,1164,Pakilpar,'1017001401795300,Village,Bihar,6473.88,10789.8,12331.2,10789.8,10789.8,13872.6,10789.8
Purnia,214,Krityanand Nagar,1133,Pothia,'1018000701923200,Village,Bihar,6474.3,10790.5,12332,10790.5,10790.5,13873.5,10790.5
Saran,218,Jalalpur,1256,Kahi,'1019000402051200,Village,Bihar,6474.72,10791.2,12332.8,10791.2,10791.2,13874.4,10791.2
Purnia,214,Banmankhi,1128,Belachand Sukhia Milik,'1018000701914600,Village,Bihar,6475.14,10791.9,12333.6,10791.9,10791.9,13875.3,10791.9
Purnia,214,Banmankhi,1128,Chakla,'1019000202042000,Village,Bihar,6475.56,10792.6,12334.4,10792.6,10792.6,13876.2,10792.6
Saran,218,Jalalpur,1256,Rampur Nurnagar,'1009000100706300,Village,Bihar,6475.98,10793.3,12335.2,10793.3,10793.3,13877.1,10793.3
Saharsa,216,Saur Bazar,1175,Tiri,'1012000201037200,Village,Bihar,6476.4,10794,12336,10794,10794,13878,10794
Saran,218,Amnour,1261,Basauta,'1013001701192000,Village,Bihar,6476.82,10794.7,12336.8,10794.7,10794.7,13878.9,10794.7
Vaishali,224,Lalganj,1270,Khanjahan Chak Urf Saidenpur,'1012000301041100,Village,Bihar,6477.24,10795.4,12337.6,10795.4,10795.4,13879.8,10795.4
Siwan,222,Siswan,1247,Alakh Diyara,'1017000801747200,Village,Bihar,6477.66,10796.1,12338.4,10796.1,10796.1,13880.7,10796.1
Samastipur,217,Samastipur,1288,Jagdishpur Rani,'1019000502058900,Village,Bihar,6478.08,10796.8,12339.2,10796.8,10796.8,13881.6,10796.8
Purnia,214,Baisi,1140,Ghos,'1017000801747500,Village,Bihar,6478.5,10797.5,12340,10797.5,10797.5,13882.5,10797.5
Saharsa,216,Mahishi,1173,Pastwar,'1009000100711000,Village,Bihar,6478.92,10798.2,12340.8,10798.2,10798.2,13883.4,10798.2
Saran,218,Dariapur,1264,Sarae Saho,'1013001601186300,Village,Bihar,6479.34,10798.9,12341.6,10798.9,10798.9,13884.3,10798.9
Samastipur,217,Kalyanpur,1048,Garha,'1018000701922600,Village,Bihar,6479.76,10799.6,12342.4,10799.6,10799.6,13885.2,10799.6
Saran,218,Parsa,1263,Bankerwa Bhaw,'1017001201780000,Village,Bihar,6480.18,10800.3,12343.2,10800.3,10800.3,13886.1,10800.3
Saran,218,Manjhi,1255,Bharaulia,'1019000402051100,Village,Bihar,6480.6,10801,12344,10801,10801,13887,10801
Samastipur,217,Warisnagar,1285,Labahatta,'1012000301040700,Village,Bihar,6481.02,10801.7,12344.8,10801.7,10801.7,13887.9,10801.7
Saran,218,Jalalpur,1256,Sanwari,'1019000102034200,Village,Bihar,6481.44,10802.4,12345.6,10802.4,10802.4,13888.8,10802.4
Darbhanga,195,Kusheshwar Asthan,1197,Missi,'1018000701916100,Village,Bihar,6481.86,10803.1,12346.4,10803.1,10803.1,13889.7,10803.1
Vaishali,224,Chehra Kalan,1273,Chhaurahi,'1017001601816600,Village,Bihar,6482.28,10803.8,12347.2,10803.8,10803.8,13890.6,10803.8
Vaishali,224,Lalganj,1270,Mukundpur Urf Parmanandpur,'1016001901686900,Village,Bihar,6482.7,10804.5,12348,10804.5,10804.5,13891.5,10804.5
Purnia,214,Banmankhi,1128,Bhabhi Kumar Chakla,'1017001601816400,Village,Bihar,6483.12,10805.2,12348.8,10805.2,10805.2,13892.4,10805.2
Vaishali,224,Patepur,1274,Shahbazpur Puraina Balbhadarpu,'1009000100711100,Village,Bihar,6483.54,10805.9,12349.6,10805.9,10805.9,13893.3,10805.9
Purnia,214,Banmankhi,1128,Dhima,'1018000401894400,Village,Bihar,6483.96,10806.6,12350.4,10806.6,10806.6,13894.2,10806.6
Madhepura,205,Murliganj,1164,Bhairopatti,'1009000100702500,Village,Bihar,6484.38,10807.3,12351.2,10807.3,10807.3,13895.1,10807.3
Saran,218,Marhaura,1260,Mobarakpur,'1018000301880600,Village,Bihar,6484.8,10808,12352,10808,10808,13896,10808
Saran,218,Parsa,1263,Baksanda,'1018000301885500,Village,Bihar,6485.22,10808.7,12352.8,10808.7,10808.7,13896.9,10808.7
Purnia,214,Krityanand Nagar,1133,Jagni Milik,'1017001601817500,Village,Bihar,6485.64,10809.4,12353.6,10809.4,10809.4,13897.8,10809.4
Saran,218,Parsa,1263,Bariarpur,'1017000801745400,Village,Bihar,6486.06,10810.1,12354.4,10810.1,10810.1,13898.7,10810.1
Saharsa,216,Kahara,1174,Deona Gopal,'1017001301790800,Village,Bihar,6486.48,10810.8,12355.2,10810.8,10810.8,13899.6,10810.8
Purnia,214,Baisi,1140,Amirganj,'1009001000767400,Village,Bihar,6486.9,10811.5,12356,10811.5,10811.5,13900.5,10811.5
Purnia,214,Banmankhi,1128,Mahadeopur,'1018000701916200,Village,Bihar,6487.32,10812.2,12356.8,10812.2,10812.2,13901.4,10812.2
Saran,218,Manjhi,1255,Harakhpura,'1013001301179200,Village,Bihar,6487.74,10812.9,12357.6,10812.9,10812.9,13902.3,10812.9
Saharsa,216,Mahishi,1173,Jalai,'1011000701003200,Village,Bihar,6488.16,10813.6,12358.4,10813.6,10813.6,13903.2,10813.6
Saran,218,Parsa,1263,Chak Jalaluddin,'1018000701923000,Village,Bihar,6488.58,10814.3,12359.2,10814.3,10814.3,13904.1,10814.3
Madhepura,205,Murliganj,1164,Bishunpur,'1009001300806800,Village,Bihar,6489,10815,12360,10815,10815,13905,10815
Vaishali,224,Patepur,1274,Chak Bahora Urf Sherpur Bahora,'1018000601909900,Village,Bihar,6489.42,10815.7,12360.8,10815.7,10815.7,13905.9,10815.7
Saran,218,Parsa,1263,Bhagwanpur,'1017000801745800,Village,Bihar,6489.84,10816.4,12361.6,10816.4,10816.4,13906.8,10816.4
Samastipur,217,Warisnagar,1285,Charo,'1009001300801900,Village,Bihar,6490.26,10817.1,12362.4,10817.1,10817.1,13907.7,10817.1
Purnia,214,Baisi,1140,Chauni,'1018000501904400,Village,Bihar,6490.68,10817.8,12363.2,10817.8,10817.8,13908.6,10817.8
Saran,218,Manjhi,1255,Babhanaulia,'1018000301885400,Village,Bihar,6491.1,10818.5,12364,10818.5,10818.5,13909.5,10818.5
Purnia,214,Banmankhi,1128,Banmankhi,'1018000701915600,Village,Bihar,6491.52,10819.2,12364.8,10819.2,10819.2,13910.4,10819.2
Purnia,214,Baisi,1140,Garkaili,'1011000400990200,Village,Bihar,6491.94,10819.9,12365.6,10819.9,10819.9,13911.3,10819.9
Saran,218,Marhaura,1260,Purbari Bhalui,'1017001601812900,Village,Bihar,6492.36,10820.6,12366.4,10820.6,10820.6,13912.2,10820.6
Samastipur,217,Khanpur,1287,Reora,'1009000600740800,Village,Bihar,6492.78,10821.3,12367.2,10821.3,10821.3,13913.1,10821.3
Purnia,214,Kasba,1135,Sadhauli Khurd,'1019000202042100,Village,Bihar,6493.2,10822,12368,10822,10822,13914,10822
Saran,218,Manjhi,1255,Phulwaria,'1018000301885300,Village,Bihar,6493.62,10822.7,12368.8,10822.7,10822.7,13914.9,10822.7
Purnia,214,Kasba,1135,Sarra,'1009000900765500,Village,Bihar,6494.04,10823.4,12369.6,10823.4,10823.4,13915.8,10823.4
Samastipur,217,Shivaji Nagar,1286,Inamat,'1017000901758000,Village,Bihar,6494.46,10824.1,12370.4,10824.1,10824.1,13916.7,10824.1
Saharsa,216,Mahishi,1173,Bharwar,'1017001301790700,Village,Bihar,6494.88,10824.8,12371.2,10824.8,10824.8,13917.6,10824.8
Purnia,214,Banmankhi,1128,Banmankhi Bazar,'1009001400825100,Town,Bihar,6495.3,10825.5,12372,10825.5,10825.5,13918.5,10825.5
Samastipur,217,Singhia,1301,Singhia,'1013001701191700,Village,Bihar,6495.72,10826.2,12372.8,10826.2,10826.2,13919.4,10826.2
Saran,218,Parsa,1263,Mirzapur,'1017001201780100,Village,Bihar,6496.14,10826.9,12373.6,10826.9,10826.9,13920.3,10826.9
Saran,218,Jalalpur,1256,Sadhpur Bali,'1019000702070300,Village,Bihar,6496.56,10827.6,12374.4,10827.6,10827.6,13921.2,10827.6
Saran,218,Nagra,1259,Banni,'1017001601817600,Village,Bihar,6496.98,10828.3,12375.2,10828.3,10828.3,13922.1,10828.3
Vaishali,224,Goraul,1272,Mohammadpur Pajha,'1017001601813700,Village,Bihar,6497.4,10829,12376,10829,10829,13923,10829
